SideEffectTerm	SecondLevelMedDRATerm
pancytopenia	Anaemias nonhaemolytic and marrow depression
metabolic acidosis	Acid-base disorders
paralysis	Movement disorders (incl parkinsonism)
atrioventricular block first degree	Cardiac arrhythmias
hypothermia	Injuries by physical agents
hypothermia	Body temperature conditions
upper respiratory tract infection	Respiratory tract infections
upper respiratory tract infection	Infections - pathogen unspecified
laboratory test abnormal	Investigations, imaging and histopathology procedures NEC
haemorrhage intracranial	Central nervous system vascular disorders
haemorrhage intracranial	Vascular haemorrhagic disorders
retching	Gastrointestinal signs and symptoms
presyncope	Cardiac disorder signs and symptoms
presyncope	Decreased and nonspecific blood pressure disorders and shock
presyncope	Neurological disorders NEC
conduction disorder	Cardiac arrhythmias
breast cancer	Breast neoplasms malignant and unspecified (incl nipple)
breast cancer	Breast disorders
electrocardiogram abnormal	Cardiac and vascular investigations (excl enzyme tests)
blood alkaline phosphatase increased	Enzyme investigations NEC
venous thrombosis	Embolism and thrombosis
testicular pain	Testicular and epididymal disorders
paraesthesia oral	Oral soft tissue conditions
paraesthesia oral	Neurological disorders NEC
oesophageal ulcer	Gastrointestinal ulceration and perforation
dysgeusia	Tongue conditions
dysgeusia	Neurological disorders NEC
aneurysm	Aneurysms and artery dissections
dysmenorrhoea	Menstrual cycle and uterine bleeding disorders
pneumonia aspiration	Lower respiratory tract disorders (excl obstruction and infection)
toxicity to various agents	Exposures, chemical injuries and poisoning
hypertension	Vascular hypertensive disorders
meningitis	Central nervous system infections and inflammations
meningitis	Infections - pathogen unspecified
somnambulism	Sleep disturbances (incl subtypes)
somnambulism	Sleep disorders and disturbances
protein urine present	Renal and urinary tract investigations and urinalyses
abnormal faeces	Gastrointestinal signs and symptoms
musculoskeletal pain	Musculoskeletal and connective tissue disorders NEC
vertigo	Inner ear and VIIIth cranial nerve disorders
vertigo	Neurological disorders NEC
antisocial personality disorder	Personality disorders and disturbances in behaviour
blood glucose increased	Metabolic, nutritional and blood gas investigations
otitis media	Infections - pathogen unspecified
otitis media	Middle ear disorders (excl congenital)
apathy	Mood disorders and disturbances NEC
urinary tract disorder	Genitourinary tract disorders NEC
swelling face	Angioedema and urticaria
swelling face	Allergic conditions
skin striae	Cornification and dystrophic skin disorders
influenza	Viral infectious disorders
influenza	Respiratory tract infections
embolism	Embolism and thrombosis
supraventricular extrasystoles	Cardiac arrhythmias
muscle contractions involuntary	Muscle disorders
muscle contractions involuntary	Neuromuscular disorders
ill-defined disorder	General system disorders NEC
hernia	General system disorders NEC
osteoporosis	Bone, calcium, magnesium and phosphorus metabolism disorders
osteoporosis	Bone disorders (excl congenital and fractures)
pulmonary embolism	Embolism and thrombosis
pulmonary embolism	Pulmonary vascular disorders
hyperhidrosis	Skin appendage conditions
hyperhidrosis	General system disorders NEC
nasal discomfort	Respiratory tract signs and symptoms
telangiectasia	Vascular disorders NEC
telangiectasia	Skin vascular abnormalities
injection site pruritus	Epidermal and dermal conditions
injection site pruritus	Administration site reactions
lung infiltration	Lower respiratory tract disorders (excl obstruction and infection)
hyperkalaemia	Electrolyte and fluid balance conditions
vascular purpura	Vascular haemorrhagic disorders
vascular purpura	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
vascular purpura	Skin vascular abnormalities
conjunctivitis	Infections - pathogen unspecified
conjunctivitis	Ocular infections, irritations and inflammations
neoplasm malignant	Miscellaneous and site unspecified neoplasms malignant and unspecified
urethritis	Urethral disorders (excl calculi)
urethritis	Infections - pathogen unspecified
vomiting	Gastrointestinal signs and symptoms
blood triglycerides increased	Lipid analyses
prurigo	Epidermal and dermal conditions
pulmonary function test decreased	Respiratory and pulmonary investigations (excl blood gases)
inappropriate antidiuretic hormone secretion	Hypothalamus and pituitary gland disorders
inappropriate antidiuretic hormone secretion	Electrolyte and fluid balance conditions
stupor	Sleep disorders and disturbances
stupor	Neurological disorders NEC
ovarian disorder	Ovarian and fallopian tube disorders
oesophagitis	Gastrointestinal inflammatory conditions
cataract	Anterior eye structural change, deposit and degeneration
amylase increased	Gastrointestinal investigations
haemoglobin	Haematology investigations (incl blood groups)
injury	Injuries NEC
weight decreased	Physical examination and organ system status topics
blood phosphorus decreased	Water, electrolyte and mineral investigations
cellulitis	Skin and subcutaneous tissue infections and infestations
cellulitis	Bacterial infectious disorders
embolism venous	Embolism and thrombosis
ocular hyperaemia	Ocular infections, irritations and inflammations
increased bronchial secretion	Respiratory tract signs and symptoms
lymphocytosis	White blood cell disorders
mental disorder	Psychiatric disorders NEC
ageusia	Tongue conditions
ageusia	Neurological disorders NEC
pseudolymphoma	Spleen, lymphatic and reticuloendothelial system disorders
bronchospasm paradoxical	Bronchial disorders (excl neoplasms)
neutropenic sepsis	White blood cell disorders
neutropenic sepsis	Infections - pathogen unspecified
systemic lupus erythematosus	Connective tissue disorders (excl congenital)
systemic lupus erythematosus	Epidermal and dermal conditions
systemic lupus erythematosus	Autoimmune disorders
eye swelling	Eye disorders NEC
hypoproteinaemia	Hepatic and hepatobiliary disorders
hypoproteinaemia	Protein and amino acid metabolism disorders NEC
application site reaction	Administration site reactions
joint stiffness	Joint disorders
sensory disturbance	Neurological disorders NEC
viral diarrhoea	Gastrointestinal infections
viral diarrhoea	Viral infectious disorders
dry throat	Respiratory tract signs and symptoms
dry throat	Salivary gland conditions
skin ulcer	Skin and subcutaneous tissue disorders NEC
skin ulcer	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
peritonitis	Gastrointestinal infections
peritonitis	Infections - pathogen unspecified
injection site pain	Administration site reactions
ileus paralytic	Gastrointestinal motility and defaecation conditions
bradycardia	Cardiac arrhythmias
flank pain	Urinary tract signs and symptoms
flank pain	Musculoskeletal and connective tissue disorders NEC
flank pain	General system disorders NEC
erythema of eyelid	Epidermal and dermal conditions
erythema of eyelid	Ocular infections, irritations and inflammations
hypoalbuminaemia	Hepatic and hepatobiliary disorders
hypoalbuminaemia	Protein and amino acid metabolism disorders NEC
hypochromic anaemia	Anaemias nonhaemolytic and marrow depression
nephritis	Nephropathies
urinary tract infection	Genitourinary tract disorders NEC
urinary tract infection	Infections - pathogen unspecified
diarrhoea haemorrhagic	Gastrointestinal motility and defaecation conditions
diarrhoea haemorrhagic	Vascular haemorrhagic disorders
cholestasis	Hepatic and hepatobiliary disorders
atelectasis	Lower respiratory tract disorders (excl obstruction and infection)
penis disorder	Penile and scrotal disorders (excl infections and inflammations)
aphasia	Cognitive and attention disorders and disturbances
aphasia	Neurological disorders NEC
oculogyric crisis	Ocular neuromuscular disorders
oculogyric crisis	Movement disorders (incl parkinsonism)
nodal arrhythmia	Cardiac arrhythmias
application site dryness	Epidermal and dermal conditions
application site dryness	Administration site reactions
abdominal pain upper	Gastrointestinal signs and symptoms
plasmacytoma	Plasma cell neoplasms
pneumothorax	Pleural disorders
oral candidiasis	Oral soft tissue conditions
oral candidiasis	Fungal infectious disorders
sudden death	Fatal outcomes
sudden death	Cardiac arrhythmias
blister	Injuries NEC
blister	Epidermal and dermal conditions
extrasystoles	Cardiac arrhythmias
vasodilation procedure	Vascular therapeutic procedures
plasma cell myeloma	Plasma cell neoplasms
osteomyelitis	Bone disorders (excl congenital and fractures)
osteomyelitis	Infections - pathogen unspecified
pain in extremity	Musculoskeletal and connective tissue disorders NEC
pyelonephritis	Renal disorders (excl nephropathies)
pyelonephritis	Infections - pathogen unspecified
febrile neutropenia	White blood cell disorders
febrile neutropenia	Body temperature conditions
cardiac flutter	Cardiac arrhythmias
cerebral ischaemia	Central nervous system vascular disorders
cerebral ischaemia	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
gastric ulcer	Gastrointestinal ulceration and perforation
tooth abscess	Dental and gingival conditions
tooth abscess	Infections - pathogen unspecified
apnoea	Respiratory disorders NEC
headache	Headaches
xerophthalmia	Vitamin related disorders
xerophthalmia	Anterior eye structural change, deposit and degeneration
fasting	Lifestyle issues
fibrocystic breast disease	Breast neoplasms benign (incl nipple)
fibrocystic breast disease	Breast disorders
oliguria	Renal disorders (excl nephropathies)
anaphylactic shock	Allergic conditions
anaphylactic shock	Decreased and nonspecific blood pressure disorders and shock
sinus bradycardia	Cardiac arrhythmias
neuropathy peripheral	Peripheral neuropathies
tardive dyskinesia	Movement disorders (incl parkinsonism)
rash erythematous	Epidermal and dermal conditions
ear infection	Aural disorders NEC
ear infection	Infections - pathogen unspecified
atrial flutter	Cardiac arrhythmias
papilloedema	Vascular disorders NEC
papilloedema	Ocular structural change, deposit and degeneration NEC
papilloedema	Increased intracranial pressure and hydrocephalus
mucosal inflammation	General system disorders NEC
sensation of foreign body	General system disorders NEC
nephropathy toxic	Exposures, chemical injuries and poisoning
nephropathy toxic	Nephropathies
ileus	Gastrointestinal stenosis and obstruction
gastrointestinal disorder	Gastrointestinal conditions NEC
hepatic enzyme increased	Hepatobiliary investigations
arrhythmia	Cardiac arrhythmias
angiopathy	Vascular disorders NEC
sluggishness	General system disorders NEC
swelling	General system disorders NEC
upper-airway cough syndrome	Respiratory tract signs and symptoms
dermatitis contact	Exposures, chemical injuries and poisoning
dermatitis contact	Epidermal and dermal conditions
dermatitis contact	Allergic conditions
akinesia	Movement disorders (incl parkinsonism)
gastritis	Gastrointestinal inflammatory conditions
paranoia	Personality disorders and disturbances in behaviour
biliary colic	Bile duct disorders
body temperature increased	Physical examination and organ system status topics
speech disorder	Respiratory tract signs and symptoms
speech disorder	Communication disorders and disturbances
speech disorder	Neurological disorders NEC
vulvovaginal pruritus	Epidermal and dermal conditions
vulvovaginal pruritus	Vulvovaginal disorders (excl infections and inflammations)
motion sickness	Inner ear and VIIIth cranial nerve disorders
motion sickness	Neurological disorders NEC
goitre	Thyroid gland disorders
goitre	Metabolism disorders NEC
cardiogenic shock	Heart failures
cardiogenic shock	Decreased and nonspecific blood pressure disorders and shock
dizziness	Cardiac disorder signs and symptoms
dizziness	Decreased and nonspecific blood pressure disorders and shock
dizziness	Neurological disorders NEC
uveitis	Immune disorders NEC
uveitis	Ocular infections, irritations and inflammations
autonomic nervous system imbalance	General system disorders NEC
autonomic nervous system imbalance	Neuromuscular disorders
autonomic nervous system imbalance	Decreased and nonspecific blood pressure disorders and shock
thrombocytopenia	Platelet disorders
breast discharge	Breast disorders
myopathy	Muscle disorders
hypoaesthesia	Neurological disorders NEC
nuchal rigidity	Muscle disorders
nuchal rigidity	Neuromuscular disorders
corneal erosion	Anterior eye structural change, deposit and degeneration
pupils unequal	Ocular neuromuscular disorders
pupils unequal	Neurological disorders NEC
asthma	Bronchial disorders (excl neoplasms)
asthma	Allergic conditions
unintended pregnancy	Pregnancy, labour, delivery and postpartum conditions
dysarthria	Communication disorders and disturbances
dysarthria	Neurological disorders NEC
cerebral infarction	Central nervous system vascular disorders
cerebral infarction	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
hyperphosphataemia	Bone, calcium, magnesium and phosphorus metabolism disorders
optic neuritis	Cranial nerve disorders (excl neoplasms)
optic neuritis	Autoimmune disorders
optic neuritis	Ocular infections, irritations and inflammations
dysphagia	Gastrointestinal signs and symptoms
sepsis	Infections - pathogen unspecified
muscle relaxant therapy	Soft tissue therapeutic procedures
memory impairment	Dementia and amnestic conditions
memory impairment	Mental impairment disorders
blood urine present	Renal and urinary tract investigations and urinalyses
amnesia	Dementia and amnestic conditions
amnesia	Mental impairment disorders
sensory loss	Neurological disorders NEC
eye irritation	Ocular infections, irritations and inflammations
lymphopenia	White blood cell disorders
retinal detachment	Injuries NEC
retinal detachment	Ocular structural change, deposit and degeneration NEC
abdominal discomfort	Gastrointestinal signs and symptoms
thinking abnormal	Disturbances in thinking and perception
thinking abnormal	Neurological disorders NEC
affect lability	Mood disorders and disturbances NEC
skin mass	Skin and subcutaneous tissue disorders NEC
application site erythema	Epidermal and dermal conditions
application site erythema	Administration site reactions
vaginal discharge	Vulvovaginal disorders (excl infections and inflammations)
dental caries	Dental and gingival conditions
glycosuria	Urinary tract signs and symptoms
bipolar i disorder	Manic and bipolar mood disorders and disturbances
agitation	Anxiety disorders and symptoms
agitation	Neurological disorders NEC
periorbital oedema	Angioedema and urticaria
periorbital oedema	Eye disorders NEC
periorbital oedema	Allergic conditions
eczema	Epidermal and dermal conditions
migraine	Vascular disorders NEC
migraine	Headaches
paresis	Movement disorders (incl parkinsonism)
white blood cell count increased	Haematology investigations (incl blood groups)
sleep apnoea syndrome	Sleep disturbances (incl subtypes)
sleep apnoea syndrome	Respiratory disorders NEC
sleep apnoea syndrome	Sleep disorders and disturbances
bronchial hyperreactivity	Bronchial disorders (excl neoplasms)
depressed mood	Depressed mood disorders and disturbances
lung disorder	Respiratory disorders NEC
hyperventilation	Respiratory disorders NEC
hyperventilation	Psychiatric and behavioural symptoms NEC
anaemia megaloblastic	Anaemias nonhaemolytic and marrow depression
anaemia megaloblastic	Vitamin related disorders
coronary artery disease	Coronary artery disorders
coronary artery disease	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
altered state of consciousness	Psychiatric disorders NEC
altered state of consciousness	Neurological disorders NEC
oropharyngeal pain	Respiratory tract signs and symptoms
oropharyngeal pain	Oral soft tissue conditions
pigmentation disorder	Pigmentation disorders
hepatic failure	Hepatic and hepatobiliary disorders
tetany	Muscle disorders
tetany	Bone, calcium, magnesium and phosphorus metabolism disorders
tetany	Parathyroid gland disorders
crying	Mood disorders and disturbances NEC
crying	Procedural related injuries and complications NEC
crying	General system disorders NEC
crying	Neurological disorders NEC
myelitis	Central nervous system infections and inflammations
myelitis	Infections - pathogen unspecified
tubulointerstitial nephritis	Nephropathies
muscular weakness	Muscle disorders
muscular weakness	Neuromuscular disorders
muscle atrophy	Muscle disorders
muscle atrophy	Neuromuscular disorders
enuresis	Urinary tract signs and symptoms
enuresis	Psychiatric disorders NEC
nail disorder	Skin appendage conditions
trismus	Muscle disorders
trismus	Movement disorders (incl parkinsonism)
photopsia	Neurological disorders of the eye
photopsia	Vision disorders
pancreatitis acute	Exocrine pancreas conditions
breast enlargement	Breast disorders
major depression	Depressed mood disorders and disturbances
hyperpathia	Neurological disorders NEC
supraventricular tachycardia	Cardiac arrhythmias
fluid overload	Electrolyte and fluid balance conditions
fluid overload	Heart failures
acute myocardial infarction	Coronary artery disorders
acute myocardial infarction	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
tooth infection	Dental and gingival conditions
tooth infection	Infections - pathogen unspecified
hypermagnesaemia	Bone, calcium, magnesium and phosphorus metabolism disorders
labyrinthitis	Inner ear and VIIIth cranial nerve disorders
labyrinthitis	Infections - pathogen unspecified
hair colour changes	Skin appendage conditions
hepatic necrosis	Hepatic and hepatobiliary disorders
jaundice cholestatic	Hepatic and hepatobiliary disorders
urine output increased	Renal and urinary tract investigations and urinalyses
throat irritation	Respiratory tract signs and symptoms
throat irritation	Oral soft tissue conditions
prothrombin level increased	Haematology investigations (incl blood groups)
eye haemorrhage	Ocular haemorrhages and vascular disorders NEC
eye haemorrhage	Vascular haemorrhagic disorders
ulcerative keratitis	Immune disorders NEC
ulcerative keratitis	Ocular infections, irritations and inflammations
glaucoma	Glaucoma and ocular hypertension
gingival bleeding	Dental and gingival conditions
gingival bleeding	Vascular haemorrhagic disorders
respiration abnormal	Respiratory disorders NEC
deafness	Hearing disorders
dry mouth	Salivary gland conditions
myoclonus	Neurological disorders NEC
cerebrovascular accident	Central nervous system vascular disorders
cerebrovascular accident	Vascular disorders NEC
toxic epidermal necrolysis	Exposures, chemical injuries and poisoning
toxic epidermal necrolysis	Epidermal and dermal conditions
toxic epidermal necrolysis	Allergic conditions
toxic epidermal necrolysis	Ancillary infectious topics
orthostatic hypotension	Neuromuscular disorders
orthostatic hypotension	Decreased and nonspecific blood pressure disorders and shock
procedural pain	Procedural related injuries and complications NEC
procedural pain	General system disorders NEC
oesophageal spasm	Gastrointestinal motility and defaecation conditions
chronic obstructive pulmonary disease	Bronchial disorders (excl neoplasms)
hyperreflexia	Neurological disorders NEC
suicide attempt	Suicidal and self-injurious behaviours NEC
atrioventricular block	Cardiac arrhythmias
nervous system disorder	Neurological disorders NEC
rash generalised	Epidermal and dermal conditions
impaired gastric emptying	Gastrointestinal motility and defaecation conditions
mucous membrane disorder	General system disorders NEC
cerebrovascular disorder	Central nervous system vascular disorders
cerebrovascular disorder	Vascular disorders NEC
disturbance in sexual arousal	Sexual dysfunctions, disturbances and gender identity disorders
hiatus hernia	Thoracic disorders (excl lung and pleura)
hiatus hernia	Abdominal hernias and other abdominal wall conditions
lipodystrophy acquired	Skin and subcutaneous tissue disorders NEC
lipodystrophy acquired	Lipid metabolism disorders
bruxism	Changes in physical activity
bruxism	Gastrointestinal signs and symptoms
torticollis	Muscle disorders
torticollis	Movement disorders (incl parkinsonism)
back pain	Musculoskeletal and connective tissue disorders NEC
coagulopathy	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
gamma-glutamyltransferase increased	Hepatobiliary investigations
rhinorrhoea	Respiratory tract signs and symptoms
night blindness	Vision disorders
night blindness	Vitamin related disorders
thrombosis	Embolism and thrombosis
bone disorder	Bone disorders (excl congenital and fractures)
vulvovaginal dryness	Vulvovaginal disorders (excl infections and inflammations)
dysphonia	Respiratory tract signs and symptoms
dysphonia	Communication disorders and disturbances
dysphonia	Neurological disorders NEC
hypothyroidism	Thyroid gland disorders
hypothyroidism	Metabolism disorders NEC
drug hypersensitivity	Allergic conditions
oropharyngeal discomfort	Respiratory tract signs and symptoms
oropharyngeal discomfort	Oral soft tissue conditions
hypertriglyceridaemia	Lipid metabolism disorders
accommodation disorder	Vision disorders
pharyngeal oedema	Upper respiratory tract disorders (excl infections)
pharyngeal oedema	Angioedema and urticaria
pharyngeal oedema	Allergic conditions
nervousness	Anxiety disorders and symptoms
cushing's syndrome	Vascular hypertensive disorders
cushing's syndrome	Adrenal gland disorders
cushing's syndrome	Psychiatric disorders NEC
cushing's syndrome	Metabolism disorders NEC
muscle spasms	Muscle disorders
vision blurred	Neurological disorders of the eye
vision blurred	Vision disorders
nausea	Gastrointestinal signs and symptoms
shock	Decreased and nonspecific blood pressure disorders and shock
tenderness	General system disorders NEC
neck pain	Musculoskeletal and connective tissue disorders NEC
application site pruritus	Epidermal and dermal conditions
application site pruritus	Administration site reactions
respiratory depression	Respiratory disorders NEC
respiratory depression	Neurological disorders NEC
sciatica	Spinal cord and nerve root disorders
sciatica	Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders)
dermatitis exfoliative	Epidermal and dermal conditions
dermatitis exfoliative	Allergic conditions
depression	Depressed mood disorders and disturbances
orgasm abnormal	Sexual function and fertility disorders
orgasm abnormal	Sexual dysfunctions, disturbances and gender identity disorders
cardiac failure congestive	Heart failures
therapeutic response unexpected	Therapeutic and nontherapeutic effects (excl toxicity)
influenza like illness	General system disorders NEC
bleeding time prolonged	Haematology investigations (incl blood groups)
tremor	Movement disorders (incl parkinsonism)
intestinal perforation	Gastrointestinal ulceration and perforation
blood prolactin increased	Endocrine investigations (incl sex hormones)
tendon disorder	Tendon, ligament and cartilage disorders
face oedema	Angioedema and urticaria
face oedema	General system disorders NEC
face oedema	Allergic conditions
acne	Skin appendage conditions
antisocial behaviour	Personality disorders and disturbances in behaviour
micturition disorder	Urinary tract signs and symptoms
feeling jittery	General system disorders NEC
cognitive disorder	Cognitive and attention disorders and disturbances
cognitive disorder	Mental impairment disorders
skin irritation	Epidermal and dermal conditions
urethral disorder	Urethral disorders (excl calculi)
gastrointestinal ulcer	Gastrointestinal ulceration and perforation
polyneuropathy	Peripheral neuropathies
psoriasis	Epidermal and dermal conditions
psoriasis	Immune disorders NEC
infection	Infections - pathogen unspecified
cystitis noninfective	Bladder and bladder neck disorders (excl calculi)
hypertonia	Muscle disorders
hypertonia	Neuromuscular disorders
prostatitis	Male reproductive tract infections and inflammations
urethritis noninfective	Urethral disorders (excl calculi)
angina pectoris	Coronary artery disorders
angina pectoris	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
hypersomnia	Sleep disturbances (incl subtypes)
hypersomnia	Sleep disorders and disturbances
wound infection	Injuries NEC
wound infection	Infections - pathogen unspecified
injection site bruising	Epidermal and dermal conditions
injection site bruising	Vascular haemorrhagic disorders
injection site bruising	Administration site reactions
eyelid oedema	Angioedema and urticaria
eyelid oedema	Allergic conditions
eyelid oedema	Ocular infections, irritations and inflammations
neuroleptic malignant syndrome	Muscle disorders
neuroleptic malignant syndrome	Exposures, chemical injuries and poisoning
neuroleptic malignant syndrome	Body temperature conditions
neuroleptic malignant syndrome	Neuromuscular disorders
urinary hesitation	Urinary tract signs and symptoms
respiratory disorder	Respiratory disorders NEC
haemoglobin decreased	Haematology investigations (incl blood groups)
tension	Anxiety disorders and symptoms
hypercalciuria	Urinary tract signs and symptoms
hypercalciuria	Bone, calcium, magnesium and phosphorus metabolism disorders
hypercalciuria	Parathyroid gland disorders
serum sickness	Procedural related injuries and complications NEC
serum sickness	Allergic conditions
azotaemia	Renal disorders (excl nephropathies)
nephrotic syndrome	Nephropathies
psychomotor retardation	Depressed mood disorders and disturbances
discomfort	General system disorders NEC
thrombophlebitis	Embolism and thrombosis
fatigue	General system disorders NEC
increased tendency to bruise	Vascular haemorrhagic disorders
increased tendency to bruise	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
increased tendency to bruise	Skin vascular abnormalities
monocytosis	White blood cell disorders
hypoaesthesia oral	Oral soft tissue conditions
hypoaesthesia oral	Neurological disorders NEC
arthralgia	Joint disorders
arrhythmia supraventricular	Cardiac arrhythmias
electrolyte imbalance	Electrolyte and fluid balance conditions
cardiac disorder	Cardiac disorder signs and symptoms
application site vesicles	Epidermal and dermal conditions
application site vesicles	Administration site reactions
pericardial effusion	Pericardial disorders
bone pain	Bone disorders (excl congenital and fractures)
generalised oedema	Electrolyte and fluid balance conditions
generalised oedema	General system disorders NEC
myocarditis	Myocardial disorders
faecaloma	Gastrointestinal signs and symptoms
acute coronary syndrome	Coronary artery disorders
acute coronary syndrome	Arteriosclerosis, stenosis, vascular insufficiency and necrosis
haematoma	Vascular haemorrhagic disorders
dizziness postural	Cardiac disorder signs and symptoms
dizziness postural	Decreased and nonspecific blood pressure disorders and shock
dizziness postural	Neurological disorders NEC
hyperglycaemia	Glucose metabolism disorders (incl diabetes mellitus)
temperature intolerance	General system disorders NEC
pleurisy	Pleural disorders
irritability	Mood disorders and disturbances NEC
irritability	General system disorders NEC
skin burning sensation	Epidermal and dermal conditions
skin burning sensation	Neurological disorders NEC
lymphocyte count decreased	Haematology investigations (incl blood groups)
tooth disorder	Dental and gingival conditions
flushing	Vascular disorders NEC
flushing	General system disorders NEC
flushing	Skin vascular abnormalities
cardiac murmur	Cardiac and vascular investigations (excl enzyme tests)
gastrointestinal pain	Gastrointestinal signs and symptoms
salivary hypersecretion	Salivary gland conditions
dysaesthesia	Neurological disorders NEC
blood potassium decreased	Water, electrolyte and mineral investigations
interstitial lung disease	Immune disorders NEC
interstitial lung disease	Lower respiratory tract disorders (excl obstruction and infection)
duodenal ulcer	Gastrointestinal ulceration and perforation
eye infection	Infections - pathogen unspecified
eye infection	Ocular infections, irritations and inflammations
chills	Muscle disorders
chills	General system disorders NEC
abnormal behaviour	Psychiatric and behavioural symptoms NEC
punctate keratitis	Ocular infections, irritations and inflammations
hypomania	Manic and bipolar mood disorders and disturbances
muscle twitching	Muscle disorders
melaena	Gastrointestinal haemorrhages NEC
melaena	Vascular haemorrhagic disorders
hypokalaemia	Electrolyte and fluid balance conditions
vaginal haemorrhage	Vascular haemorrhagic disorders
vaginal haemorrhage	Vulvovaginal disorders (excl infections and inflammations)
malignant melanoma	Skin neoplasms malignant and unspecified
anaemia	Anaemias nonhaemolytic and marrow depression
alopecia	Skin appendage conditions
emotional disorder	Mood disorders and disturbances NEC
urine abnormality	Urinary tract signs and symptoms
hypercholesterolaemia	Lipid metabolism disorders
breath sounds abnormal	Physical examination and organ system status topics
hemiplegia	Movement disorders (incl parkinsonism)
eye pruritus	Ocular infections, irritations and inflammations
purpura	Vascular haemorrhagic disorders
purpura	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
purpura	Skin vascular abnormalities
menopausal symptoms	Menopause related conditions
skin hypertrophy	Cornification and dystrophic skin disorders
staphylococcal infection	Bacterial infectious disorders
stomatitis	Oral soft tissue conditions
dementia	Dementia and amnestic conditions
dementia	Mental impairment disorders
pallor	Epidermal and dermal conditions
pallor	Vascular disorders NEC
pallor	General system disorders NEC
laryngeal oedema	Upper respiratory tract disorders (excl infections)
laryngeal oedema	Angioedema and urticaria
laryngeal oedema	Allergic conditions
faecalith	Gastrointestinal signs and symptoms
hangover	General system disorders NEC
prostatic disorder	Prostatic disorders (excl infections and inflammations)
retinal degeneration	Ocular structural change, deposit and degeneration NEC
euphoric mood	Mood disorders and disturbances NEC
white blood cell count decreased	Haematology investigations (incl blood groups)
epigastric discomfort	Gastrointestinal signs and symptoms
sinus tachycardia	Cardiac arrhythmias
throat tightness	Respiratory tract signs and symptoms
throat tightness	Psychiatric and behavioural symptoms NEC
hyperthyroidism	Thyroid gland disorders
hyperthyroidism	Metabolism disorders NEC
peripheral motor neuropathy	Peripheral neuropathies
road traffic accident	Injuries NEC
rash maculo-papular	Epidermal and dermal conditions
cholecystitis	Gallbladder disorders
retinal haemorrhage	Retina, choroid and vitreous haemorrhages and vascular disorders
retinal haemorrhage	Vascular haemorrhagic disorders
amenorrhoea	Endocrine disorders of gonadal function
amenorrhoea	Menstrual cycle and uterine bleeding disorders
rash	Epidermal and dermal conditions
vascular headache	Vascular disorders NEC
vascular headache	Headaches
thrombocytosis	Platelet disorders
respiratory failure	Acid-base disorders
respiratory failure	Respiratory disorders NEC
hyperuricaemia	Purine and pyrimidine metabolism disorders
malaise	General system disorders NEC
asocial behaviour	Personality disorders and disturbances in behaviour
post procedural haemorrhage	Vascular haemorrhagic disorders
post procedural haemorrhage	Procedural related injuries and complications NEC
dyspepsia	Gastrointestinal signs and symptoms
alcohol intolerance	Food intolerance syndromes
hypercalcaemia	Bone, calcium, magnesium and phosphorus metabolism disorders
hypercalcaemia	Parathyroid gland disorders
gastrointestinal perforation	Gastrointestinal ulceration and perforation
drug ineffective	Therapeutic and nontherapeutic effects (excl toxicity)
abdominal pain	Gastrointestinal signs and symptoms
congenital eye disorder	Eye disorders NEC
congenital eye disorder	Eye disorders congenital
angioedema	Upper respiratory tract disorders (excl infections)
angioedema	Angioedema and urticaria
angioedema	Allergic conditions
retinal disorder	Eye disorders NEC
bladder pain	Urinary tract signs and symptoms
contusion	Injuries NEC
contusion	Epidermal and dermal conditions
contusion	Musculoskeletal and connective tissue disorders NEC
contusion	Vascular haemorrhagic disorders
septic shock	Infections - pathogen unspecified
septic shock	Decreased and nonspecific blood pressure disorders and shock
nightmare	Sleep disorders and disturbances
blood pressure increased	Cardiac and vascular investigations (excl enzyme tests)
pulmonary fibrosis	Lower respiratory tract disorders (excl obstruction and infection)
eye pain	Eye disorders NEC
intestinal obstruction	Gastrointestinal stenosis and obstruction
anorectal discomfort	Anal and rectal conditions NEC
chest discomfort	Respiratory tract signs and symptoms
chest discomfort	Coronary artery disorders
chest discomfort	General system disorders NEC
akathisia	Anxiety disorders and symptoms
akathisia	Movement disorders (incl parkinsonism)
extrapyramidal disorder	Movement disorders (incl parkinsonism)
faeces discoloured	Gastrointestinal signs and symptoms
blepharitis	Epidermal and dermal conditions
blepharitis	Ocular infections, irritations and inflammations
enterocolitis	Gastrointestinal inflammatory conditions
petechiae	Vascular haemorrhagic disorders
petechiae	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
petechiae	Skin vascular abnormalities
dysuria	Urinary tract signs and symptoms
oedema peripheral	Electrolyte and fluid balance conditions
oedema peripheral	General system disorders NEC
oedema peripheral	Heart failures
haemorrhage	Vascular haemorrhagic disorders
oral herpes	Viral infectious disorders
