GenericDrugName	SideeffectTerm	Source
ceftazidime	oliguria	OFFSIDES
ceftazidime	gastrointestinal disorder	OFFSIDES
ceftazidime	arrhythmia	OFFSIDES
ceftazidime	speech disorder	OFFSIDES
ceftazidime	cardiogenic shock	OFFSIDES
ceftazidime	hyperphosphataemia	OFFSIDES
ceftazidime	altered state of consciousness	OFFSIDES
ceftazidime	gamma-glutamyltransferase increased	OFFSIDES
ceftazidime	bone disorder	OFFSIDES
ceftazidime	influenza like illness	OFFSIDES
ceftazidime	infection	OFFSIDES
ceftazidime	bone pain	OFFSIDES
ceftazidime	haematoma	OFFSIDES
ceftazidime	lymphocyte count decreased	OFFSIDES
ceftazidime	duodenal ulcer	OFFSIDES
ceftazidime	abnormal behaviour	OFFSIDES
ceftazidime	anaemia	OFFSIDES
ceftazidime	alopecia	OFFSIDES
ceftazidime	hemiplegia	OFFSIDES
ceftazidime	respiratory failure	OFFSIDES
ceftazidime	septic shock	OFFSIDES
ceftazidime	gingival pain	OFFSIDES
ceftazidime	haemorrhagic disorder	OFFSIDES
ceftazidime	blood urea increased	OFFSIDES
ceftazidime	hyperbilirubinaemia	SIDER
ceftazidime	bacterial infection	OFFSIDES
ceftazidime	electrocardiogram qt prolonged	OFFSIDES
ceftazidime	blood albumin decreased	OFFSIDES
ceftazidime	pulmonary hypertension	OFFSIDES
ceftazidime	conjunctival hyperaemia	OFFSIDES
ceftazidime	acute respiratory distress syndrome	OFFSIDES
acamprosate	ventricular fibrillation	OFFSIDES
acamprosate	tongue disorder	OFFSIDES
acamprosate	torsade de pointes	OFFSIDES
acamprosate	disturbance in attention	OFFSIDES
acamprosate	conversion disorder	OFFSIDES
acamprosate	international normalised ratio increased	OFFSIDES
acamprosate	incontinence	OFFSIDES
acamprosate	intermittent claudication	OFFSIDES
acamprosate	blood glucose decreased	OFFSIDES
acamprosate	injection site erythema	OFFSIDES
acamprosate	musculoskeletal chest pain	OFFSIDES
acamprosate	blepharospasm	OFFSIDES
acamprosate	sleep disorder	OFFSIDES
acamprosate	pericarditis	OFFSIDES
acamprosate	muscle tightness	OFFSIDES
acamprosate	laceration	OFFSIDES
acamprosate	injection site induration	OFFSIDES
acamprosate	metabolic acidosis	OFFSIDES
acamprosate	increased bronchial secretion	OFFSIDES
acamprosate	atrial flutter	OFFSIDES
acamprosate	corneal erosion	OFFSIDES
acamprosate	optic neuritis	OFFSIDES
acamprosate	gamma-glutamyltransferase increased	OFFSIDES
acamprosate	azotaemia	OFFSIDES
acamprosate	congenital eye disorder	OFFSIDES
acamprosate	enterocolitis	OFFSIDES
acamprosate	anorgasmia	OFFSIDES
acamprosate	bacterial infection	OFFSIDES
acamprosate	electrocardiogram qt prolonged	OFFSIDES
acamprosate	skin lesion	OFFSIDES
acamprosate	ischaemia	OFFSIDES
capsaicin	aggression	OFFSIDES
capsaicin	asthenia	OFFSIDES
capsaicin	protein total decreased	OFFSIDES
capsaicin	hypoxia	OFFSIDES
capsaicin	encephalopathy	OFFSIDES
capsaicin	international normalised ratio increased	OFFSIDES
capsaicin	brain oedema	OFFSIDES
capsaicin	pleural effusion	OFFSIDES
capsaicin	blood alkaline phosphatase increased	OFFSIDES
capsaicin	mental disorder	OFFSIDES
capsaicin	bradycardia	OFFSIDES
capsaicin	atelectasis	OFFSIDES
capsaicin	pneumothorax	OFFSIDES
capsaicin	paranoia	OFFSIDES
capsaicin	dizziness	OFFSIDES
capsaicin	depressed mood	OFFSIDES
capsaicin	fluid overload	OFFSIDES
capsaicin	drug hypersensitivity	OFFSIDES
capsaicin	accommodation disorder	OFFSIDES
capsaicin	lymphocyte count decreased	OFFSIDES
capsaicin	emotional disorder	OFFSIDES
capsaicin	angioedema	OFFSIDES
pazopanib	pancreatitis	SIDER
pazopanib	gastrointestinal disorder	SIDER
sotalol	wound secretion	OFFSIDES
sotalol	atrioventricular block complete	OFFSIDES
sotalol	pulmonary oedema	SIDER
sotalol	leukopenia	SIDER
sotalol	ventricular fibrillation	OFFSIDES
sotalol	ascites	OFFSIDES
sotalol	arthritis	OFFSIDES
sotalol	depressed level of consciousness	OFFSIDES
sotalol	completed suicide	OFFSIDES
sotalol	pyuria	OFFSIDES
sotalol	anuria	OFFSIDES
sotalol	colitis	OFFSIDES
sotalol	coordination abnormal	SIDER
sotalol	dry eye	OFFSIDES
sotalol	chromatopsia	OFFSIDES
sotalol	erythema	OFFSIDES
sotalol	abscess	OFFSIDES
sotalol	sinusitis	OFFSIDES
sotalol	induration	OFFSIDES
sotalol	international normalised ratio increased	OFFSIDES
sotalol	pollakiuria	OFFSIDES
sotalol	colitis ischaemic	OFFSIDES
sotalol	lymphoma	OFFSIDES
sotalol	diplopia	OFFSIDES
sotalol	incontinence	OFFSIDES
sotalol	hepatocellular injury	OFFSIDES
sotalol	cardiomyopathy	OFFSIDES
sotalol	scab	OFFSIDES
sotalol	peripheral ischaemia	OFFSIDES
sotalol	polyuria	OFFSIDES
sotalol	cyanosis	OFFSIDES
sotalol	odynophagia	OFFSIDES
sotalol	eosinophilia	SIDER
sotalol	acidosis	OFFSIDES
sotalol	duodenitis	OFFSIDES
sotalol	immune system disorder	OFFSIDES
sotalol	renal tubular necrosis	OFFSIDES
sotalol	blood glucose decreased	OFFSIDES
sotalol	myalgia	SIDER
sotalol	gangrene	OFFSIDES
sotalol	pain	OFFSIDES
sotalol	lichenoid keratosis	OFFSIDES
sotalol	pleural effusion	OFFSIDES
sotalol	mediastinal disorder	OFFSIDES
sotalol	tinnitus	OFFSIDES
sotalol	lethargy	OFFSIDES
sotalol	hyperlipidaemia	SIDER
sotalol	ovarian cyst	OFFSIDES
sotalol	pericarditis	OFFSIDES
sotalol	laceration	OFFSIDES
sotalol	phlebitis	OFFSIDES
sotalol	neuralgia	OFFSIDES
sotalol	hepatitis	OFFSIDES
sotalol	metabolic acidosis	OFFSIDES
sotalol	paralysis	SIDER
sotalol	atrioventricular block first degree	OFFSIDES
sotalol	blood alkaline phosphatase increased	OFFSIDES
sotalol	vertigo	SIDER
sotalol	apathy	OFFSIDES
sotalol	embolism	OFFSIDES
sotalol	ill-defined disorder	OFFSIDES
sotalol	cellulitis	OFFSIDES
sotalol	mental disorder	OFFSIDES
sotalol	ageusia	OFFSIDES
sotalol	dry throat	OFFSIDES
sotalol	extrasystoles	OFFSIDES
sotalol	pyelonephritis	OFFSIDES
sotalol	cardiac flutter	OFFSIDES
sotalol	cerebral ischaemia	OFFSIDES
sotalol	sinus bradycardia	OFFSIDES
sotalol	neuropathy peripheral	OFFSIDES
sotalol	atrial flutter	OFFSIDES
sotalol	speech disorder	OFFSIDES
sotalol	cardiogenic shock	OFFSIDES
sotalol	thrombocytopenia	SIDER
sotalol	amnesia	OFFSIDES
sotalol	abdominal discomfort	OFFSIDES
sotalol	eczema	OFFSIDES
sotalol	pigmentation disorder	OFFSIDES
sotalol	hepatic failure	OFFSIDES
sotalol	supraventricular tachycardia	OFFSIDES
sotalol	fluid overload	OFFSIDES
sotalol	urine output increased	OFFSIDES
sotalol	glaucoma	OFFSIDES
sotalol	atrioventricular block	OFFSIDES
sotalol	impaired gastric emptying	OFFSIDES
sotalol	bone disorder	OFFSIDES
sotalol	dysphonia	OFFSIDES
sotalol	cognitive disorder	OFFSIDES
sotalol	psoriasis	OFFSIDES
sotalol	prostatitis	OFFSIDES
sotalol	thrombophlebitis	OFFSIDES
sotalol	monocytosis	OFFSIDES
sotalol	bone pain	OFFSIDES
sotalol	haematoma	OFFSIDES
sotalol	cardiac murmur	OFFSIDES
sotalol	blood potassium decreased	OFFSIDES
sotalol	hypokalaemia	OFFSIDES
sotalol	anaemia	OFFSIDES
sotalol	alopecia	SIDER
sotalol	pallor	OFFSIDES
sotalol	euphoric mood	OFFSIDES
sotalol	drug ineffective	OFFSIDES
sotalol	photosensitivity reaction	SIDER
sotalol	delusion	OFFSIDES
sotalol	blood urea increased	OFFSIDES
sotalol	musculoskeletal discomfort	SIDER
sotalol	electrocardiogram qt prolonged	OFFSIDES
sotalol	haematochezia	OFFSIDES
sotalol	pulmonary hypertension	OFFSIDES
sotalol	epistaxis	OFFSIDES
sotalol	pruritus	SIDER
sotalol	hair texture abnormal	OFFSIDES
sotalol	exophthalmos	OFFSIDES
cevimeline	cholecystitis	SIDER
danazol	transient ischaemic attack	OFFSIDES
danazol	asthenia	OFFSIDES
danazol	ventricular fibrillation	OFFSIDES
danazol	nephrolithiasis	OFFSIDES
danazol	feeling abnormal	OFFSIDES
danazol	pain of skin	OFFSIDES
danazol	chest pain	OFFSIDES
danazol	rhabdomyolysis	OFFSIDES
danazol	blood creatinine increased	OFFSIDES
danazol	erythema	OFFSIDES
danazol	stevens-johnson syndrome	OFFSIDES
danazol	colitis ischaemic	OFFSIDES
danazol	brain oedema	OFFSIDES
danazol	lymphoma	OFFSIDES
danazol	blood potassium increased	OFFSIDES
danazol	musculoskeletal stiffness	OFFSIDES
danazol	duodenitis	OFFSIDES
danazol	pancreatitis	OFFSIDES
danazol	non-hodgkin's lymphoma	OFFSIDES
danazol	renal impairment	OFFSIDES
danazol	abdominal distension	OFFSIDES
danazol	alanine aminotransferase increased	OFFSIDES
danazol	arthropathy	OFFSIDES
danazol	hepatotoxicity	OFFSIDES
danazol	sleep disorder	OFFSIDES
danazol	bladder cancer	OFFSIDES
danazol	hepatitis	OFFSIDES
danazol	blood alkaline phosphatase increased	OFFSIDES
danazol	aneurysm	OFFSIDES
danazol	cellulitis	OFFSIDES
danazol	embolism venous	OFFSIDES
danazol	hypoalbuminaemia	OFFSIDES
danazol	abdominal pain upper	OFFSIDES
danazol	cerebral ischaemia	OFFSIDES
danazol	sinus bradycardia	OFFSIDES
danazol	neuropathy peripheral	OFFSIDES
danazol	arrhythmia	OFFSIDES
danazol	amnesia	OFFSIDES
danazol	altered state of consciousness	OFFSIDES
danazol	breast enlargement	OFFSIDES
danazol	prostatitis	OFFSIDES
danazol	haematoma	OFFSIDES
danazol	anaemia	OFFSIDES
danazol	skin hypertrophy	OFFSIDES
danazol	throat tightness	OFFSIDES
danazol	drug ineffective	OFFSIDES
danazol	angioedema	OFFSIDES
danazol	nightmare	OFFSIDES
danazol	libido increased	OFFSIDES
danazol	blood urea increased	OFFSIDES
danazol	arteriosclerosis	OFFSIDES
danazol	iron deficiency anaemia	OFFSIDES
danazol	panic attack	OFFSIDES
danazol	skin lesion	OFFSIDES
mannitol	proctitis	OFFSIDES
mannitol	blood lactate dehydrogenase increased	OFFSIDES
mannitol	candida infection	OFFSIDES
mannitol	atrioventricular block complete	OFFSIDES
mannitol	asthenia	OFFSIDES
mannitol	protein total decreased	OFFSIDES
mannitol	ventricular fibrillation	OFFSIDES
mannitol	hypomagnesaemia	OFFSIDES
mannitol	arthritis	OFFSIDES
mannitol	neutrophil count decreased	OFFSIDES
mannitol	torsade de pointes	OFFSIDES
mannitol	dry skin	OFFSIDES
mannitol	depressed level of consciousness	OFFSIDES
mannitol	disseminated intravascular coagulation	OFFSIDES
mannitol	nephrolithiasis	OFFSIDES
mannitol	emphysema	OFFSIDES
mannitol	bacteraemia	OFFSIDES
mannitol	cardiovascular disorder	OFFSIDES
mannitol	anxiety	OFFSIDES
mannitol	bronchitis	OFFSIDES
mannitol	hyperaesthesia	OFFSIDES
mannitol	ulcer	OFFSIDES
mannitol	dry eye	OFFSIDES
mannitol	optic atrophy	OFFSIDES
mannitol	haematemesis	OFFSIDES
mannitol	encephalopathy	OFFSIDES
mannitol	lung infection	OFFSIDES
mannitol	electrocardiogram st segment depression	OFFSIDES
mannitol	blood creatine phosphokinase increased	OFFSIDES
mannitol	cerebral haemorrhage	OFFSIDES
mannitol	blood creatinine increased	OFFSIDES
mannitol	hypophosphataemia	OFFSIDES
mannitol	tumour lysis syndrome	OFFSIDES
mannitol	international normalised ratio increased	OFFSIDES
mannitol	brain oedema	OFFSIDES
mannitol	rhinitis	OFFSIDES
mannitol	cardiomyopathy	OFFSIDES
mannitol	cardiac failure	OFFSIDES
mannitol	peripheral ischaemia	OFFSIDES
mannitol	subarachnoid haemorrhage	OFFSIDES
mannitol	cyanosis	OFFSIDES
mannitol	odynophagia	OFFSIDES
mannitol	acidosis	OFFSIDES
mannitol	folliculitis	OFFSIDES
mannitol	skin odour abnormal	OFFSIDES
mannitol	renal impairment	OFFSIDES
mannitol	gastroenteritis	OFFSIDES
mannitol	skin discolouration	OFFSIDES
mannitol	abdominal distension	OFFSIDES
mannitol	viral upper respiratory tract infection	OFFSIDES
mannitol	pain	OFFSIDES
mannitol	musculoskeletal chest pain	OFFSIDES
mannitol	bursitis	OFFSIDES
mannitol	alanine aminotransferase increased	OFFSIDES
mannitol	pleural effusion	OFFSIDES
mannitol	tinnitus	OFFSIDES
mannitol	arthropathy	OFFSIDES
mannitol	coma	OFFSIDES
mannitol	dehydration	OFFSIDES
mannitol	dermatitis bullous	OFFSIDES
mannitol	rhonchi	OFFSIDES
mannitol	vestibular disorder	OFFSIDES
mannitol	metabolic acidosis	OFFSIDES
mannitol	embolism	OFFSIDES
mannitol	osteoporosis	OFFSIDES
mannitol	lung infiltration	OFFSIDES
mannitol	cataract	OFFSIDES
mannitol	blood phosphorus decreased	OFFSIDES
mannitol	joint stiffness	OFFSIDES
mannitol	peritonitis	OFFSIDES
mannitol	bradycardia	OFFSIDES
mannitol	atelectasis	OFFSIDES
mannitol	plasmacytoma	OFFSIDES
mannitol	febrile neutropenia	OFFSIDES
mannitol	cerebral ischaemia	OFFSIDES
mannitol	gastric ulcer	OFFSIDES
mannitol	oliguria	OFFSIDES
mannitol	sinus bradycardia	OFFSIDES
mannitol	mucosal inflammation	OFFSIDES
mannitol	nephropathy toxic	OFFSIDES
mannitol	arrhythmia	OFFSIDES
mannitol	body temperature increased	OFFSIDES
mannitol	cardiogenic shock	OFFSIDES
mannitol	asthma	OFFSIDES
mannitol	abdominal discomfort	OFFSIDES
mannitol	dental caries	OFFSIDES
mannitol	altered state of consciousness	OFFSIDES
mannitol	pigmentation disorder	OFFSIDES
mannitol	tetany	OFFSIDES
mannitol	myelitis	OFFSIDES
mannitol	fluid overload	OFFSIDES
mannitol	acute myocardial infarction	OFFSIDES
mannitol	tooth infection	OFFSIDES
mannitol	respiration abnormal	OFFSIDES
mannitol	bone disorder	OFFSIDES
mannitol	accommodation disorder	OFFSIDES
mannitol	influenza like illness	OFFSIDES
mannitol	intestinal perforation	OFFSIDES
mannitol	wound infection	OFFSIDES
mannitol	neuroleptic malignant syndrome	OFFSIDES
mannitol	respiratory disorder	OFFSIDES
mannitol	azotaemia	OFFSIDES
mannitol	fatigue	OFFSIDES
mannitol	monocytosis	OFFSIDES
mannitol	blood potassium decreased	OFFSIDES
mannitol	hypokalaemia	OFFSIDES
mannitol	anaemia	OFFSIDES
mannitol	emotional disorder	OFFSIDES
mannitol	hemiplegia	OFFSIDES
mannitol	skin hypertrophy	OFFSIDES
mannitol	staphylococcal infection	OFFSIDES
mannitol	cholecystitis	OFFSIDES
mannitol	respiratory failure	OFFSIDES
mannitol	post procedural haemorrhage	OFFSIDES
mannitol	abdominal pain	OFFSIDES
mannitol	septic shock	OFFSIDES
mannitol	intestinal obstruction	OFFSIDES
mannitol	injection site inflammation	OFFSIDES
mannitol	ataxia	OFFSIDES
mannitol	gingival pain	OFFSIDES
mannitol	blood urea increased	OFFSIDES
mannitol	electrocardiogram qt prolonged	OFFSIDES
mannitol	blood albumin decreased	OFFSIDES
mannitol	productive cough	OFFSIDES
mannitol	acute respiratory distress syndrome	OFFSIDES
mannitol	proctalgia	OFFSIDES
mannitol	ischaemia	OFFSIDES
diazepam	aggression	OFFSIDES
diazepam	transient ischaemic attack	OFFSIDES
diazepam	blood lactate dehydrogenase increased	OFFSIDES
diazepam	bipolar disorder	OFFSIDES
diazepam	chromaturia	OFFSIDES
diazepam	ascites	OFFSIDES
diazepam	anorectal disorder	OFFSIDES
diazepam	arthritis	OFFSIDES
diazepam	neutrophil count decreased	OFFSIDES
diazepam	hyperkeratosis	OFFSIDES
diazepam	depressed level of consciousness	OFFSIDES
diazepam	basal cell carcinoma	OFFSIDES
diazepam	hypoxia	OFFSIDES
diazepam	nasal congestion	OFFSIDES
diazepam	completed suicide	OFFSIDES
diazepam	burning sensation	OFFSIDES
diazepam	nephrolithiasis	OFFSIDES
diazepam	emphysema	OFFSIDES
diazepam	feeling abnormal	OFFSIDES
diazepam	osteoarthritis	OFFSIDES
diazepam	colitis	OFFSIDES
diazepam	anxiety	OFFSIDES
diazepam	bronchitis	OFFSIDES
diazepam	varicose vein	OFFSIDES
diazepam	coordination abnormal	OFFSIDES
diazepam	disturbance in attention	OFFSIDES
diazepam	ulcer	OFFSIDES
diazepam	haematemesis	OFFSIDES
diazepam	chest pain	OFFSIDES
diazepam	encephalopathy	OFFSIDES
diazepam	laryngospasm	OFFSIDES
diazepam	tension headache	OFFSIDES
diazepam	rhabdomyolysis	OFFSIDES
diazepam	blood creatinine increased	OFFSIDES
diazepam	urine analysis abnormal	OFFSIDES
diazepam	balance disorder	OFFSIDES
diazepam	erythema	OFFSIDES
diazepam	abscess	OFFSIDES
diazepam	sinusitis	OFFSIDES
diazepam	stevens-johnson syndrome	OFFSIDES
diazepam	pollakiuria	OFFSIDES
diazepam	brain oedema	OFFSIDES
diazepam	diplopia	OFFSIDES
diazepam	rhinitis	OFFSIDES
diazepam	incontinence	OFFSIDES
diazepam	blood potassium increased	OFFSIDES
diazepam	cardiomyopathy	OFFSIDES
diazepam	hypotonia	OFFSIDES
diazepam	polyuria	OFFSIDES
diazepam	non-cardiac chest pain	OFFSIDES
diazepam	excoriation	OFFSIDES
diazepam	acidosis	OFFSIDES
diazepam	cyst	OFFSIDES
diazepam	affective disorder	OFFSIDES
diazepam	intermittent claudication	OFFSIDES
diazepam	immune system disorder	OFFSIDES
diazepam	multiple fractures	SIDER
diazepam	adrenal insufficiency	OFFSIDES
diazepam	renal tubular necrosis	OFFSIDES
diazepam	cough	OFFSIDES
diazepam	gastroenteritis	OFFSIDES
diazepam	injection site erythema	OFFSIDES
diazepam	withdrawal syndrome	OFFSIDES
diazepam	anger	OFFSIDES
diazepam	abdominal distension	OFFSIDES
diazepam	fracture	SIDER
diazepam	pain	OFFSIDES
diazepam	musculoskeletal chest pain	OFFSIDES
diazepam	alanine aminotransferase increased	OFFSIDES
diazepam	pleural effusion	OFFSIDES
diazepam	tinnitus	OFFSIDES
diazepam	gout	OFFSIDES
diazepam	coma	OFFSIDES
diazepam	blepharospasm	OFFSIDES
diazepam	sleep disorder	OFFSIDES
diazepam	cardiac output decreased	OFFSIDES
diazepam	laceration	OFFSIDES
diazepam	hepatic function abnormal	OFFSIDES
diazepam	impaired healing	OFFSIDES
diazepam	nocturia	OFFSIDES
diazepam	dehydration	OFFSIDES
diazepam	rhonchi	OFFSIDES
diazepam	amblyopia	OFFSIDES
diazepam	neuralgia	OFFSIDES
diazepam	metabolic acidosis	OFFSIDES
diazepam	blood alkaline phosphatase increased	OFFSIDES
diazepam	paraesthesia oral	OFFSIDES
diazepam	dysgeusia	OFFSIDES
diazepam	aneurysm	OFFSIDES
diazepam	musculoskeletal pain	OFFSIDES
diazepam	ill-defined disorder	OFFSIDES
diazepam	osteoporosis	OFFSIDES
diazepam	hyperhidrosis	OFFSIDES
diazepam	blood triglycerides increased	OFFSIDES
diazepam	cataract	OFFSIDES
diazepam	cellulitis	OFFSIDES
diazepam	mental disorder	OFFSIDES
diazepam	joint stiffness	OFFSIDES
diazepam	sensory disturbance	OFFSIDES
diazepam	peritonitis	OFFSIDES
diazepam	flank pain	OFFSIDES
diazepam	hypoalbuminaemia	OFFSIDES
diazepam	atelectasis	OFFSIDES
diazepam	penis disorder	OFFSIDES
diazepam	osteomyelitis	OFFSIDES
diazepam	pyelonephritis	OFFSIDES
diazepam	gastric ulcer	OFFSIDES
diazepam	neuropathy peripheral	OFFSIDES
diazepam	tardive dyskinesia	OFFSIDES
diazepam	ear infection	OFFSIDES
diazepam	body temperature increased	OFFSIDES
diazepam	cardiogenic shock	OFFSIDES
diazepam	dizziness	OFFSIDES
diazepam	hypoaesthesia	OFFSIDES
diazepam	asthma	OFFSIDES
diazepam	blood urine present	OFFSIDES
diazepam	amnesia	OFFSIDES
diazepam	sensory loss	OFFSIDES
diazepam	abdominal discomfort	OFFSIDES
diazepam	affect lability	OFFSIDES
diazepam	dental caries	OFFSIDES
diazepam	eczema	OFFSIDES
diazepam	migraine	OFFSIDES
diazepam	altered state of consciousness	OFFSIDES
diazepam	crying	OFFSIDES
diazepam	tooth infection	OFFSIDES
diazepam	deafness	OFFSIDES
diazepam	impaired gastric emptying	OFFSIDES
diazepam	bruxism	OFFSIDES
diazepam	gamma-glutamyltransferase increased	OFFSIDES
diazepam	bone disorder	OFFSIDES
diazepam	accommodation disorder	OFFSIDES
diazepam	nausea	OFFSIDES
diazepam	influenza like illness	OFFSIDES
diazepam	tendon disorder	OFFSIDES
diazepam	polyneuropathy	OFFSIDES
diazepam	infection	OFFSIDES
diazepam	hypertonia	OFFSIDES
diazepam	neuroleptic malignant syndrome	OFFSIDES
diazepam	fatigue	OFFSIDES
diazepam	hypoaesthesia oral	OFFSIDES
diazepam	pericardial effusion	OFFSIDES
diazepam	bone pain	OFFSIDES
diazepam	haematoma	OFFSIDES
diazepam	lymphocyte count decreased	OFFSIDES
diazepam	blood potassium decreased	OFFSIDES
diazepam	abnormal behaviour	OFFSIDES
diazepam	hypokalaemia	OFFSIDES
diazepam	anaemia	OFFSIDES
diazepam	alopecia	OFFSIDES
diazepam	staphylococcal infection	OFFSIDES
diazepam	pallor	OFFSIDES
diazepam	prostatic disorder	OFFSIDES
diazepam	euphoric mood	OFFSIDES
diazepam	road traffic accident	OFFSIDES
diazepam	respiratory failure	OFFSIDES
diazepam	dyspepsia	OFFSIDES
diazepam	abdominal pain	OFFSIDES
diazepam	septic shock	OFFSIDES
diazepam	eye pain	OFFSIDES
diazepam	faeces discoloured	OFFSIDES
diazepam	dysuria	OFFSIDES
diazepam	pruritus generalised	OFFSIDES
diazepam	blood urea increased	OFFSIDES
diazepam	bacterial infection	OFFSIDES
diazepam	electrocardiogram qt prolonged	OFFSIDES
diazepam	haematochezia	OFFSIDES
diazepam	pulmonary hypertension	OFFSIDES
diazepam	panic attack	OFFSIDES
diazepam	acute respiratory distress syndrome	OFFSIDES
diazepam	ischaemia	OFFSIDES
tobramycin	blood bilirubin increased	OFFSIDES
tobramycin	blood lactate dehydrogenase increased	OFFSIDES
tobramycin	wound secretion	OFFSIDES
tobramycin	candida infection	OFFSIDES
tobramycin	bipolar disorder	OFFSIDES
tobramycin	asthenia	OFFSIDES
tobramycin	haemorrhoids	OFFSIDES
tobramycin	ascites	OFFSIDES
tobramycin	torsade de pointes	OFFSIDES
tobramycin	hyporeflexia	OFFSIDES
tobramycin	basal cell carcinoma	OFFSIDES
tobramycin	disseminated intravascular coagulation	OFFSIDES
tobramycin	hypoxia	OFFSIDES
tobramycin	nephrolithiasis	OFFSIDES
tobramycin	emphysema	OFFSIDES
tobramycin	osteoarthritis	OFFSIDES
tobramycin	anuria	OFFSIDES
tobramycin	colitis	OFFSIDES
tobramycin	anxiety	OFFSIDES
tobramycin	varicose vein	OFFSIDES
tobramycin	actinic keratosis	OFFSIDES
tobramycin	encephalopathy	OFFSIDES
tobramycin	lung infection	OFFSIDES
tobramycin	chromatopsia	OFFSIDES
tobramycin	cerebral haemorrhage	OFFSIDES
tobramycin	balance disorder	OFFSIDES
tobramycin	tumour lysis syndrome	OFFSIDES
tobramycin	herpes zoster	OFFSIDES
tobramycin	salivary gland enlargement	OFFSIDES
tobramycin	abscess	OFFSIDES
tobramycin	sinusitis	OFFSIDES
tobramycin	clostridium difficile colitis	OFFSIDES
tobramycin	international normalised ratio increased	OFFSIDES
tobramycin	colitis ischaemic	OFFSIDES
tobramycin	brain oedema	OFFSIDES
tobramycin	incontinence	OFFSIDES
tobramycin	blood potassium increased	OFFSIDES
tobramycin	cardiomyopathy	OFFSIDES
tobramycin	cardiac failure	OFFSIDES
tobramycin	peripheral ischaemia	OFFSIDES
tobramycin	cyanosis	OFFSIDES
tobramycin	herpes simplex	OFFSIDES
tobramycin	pancreatitis	OFFSIDES
tobramycin	intermittent claudication	OFFSIDES
tobramycin	nystagmus	OFFSIDES
tobramycin	non-hodgkin's lymphoma	OFFSIDES
tobramycin	renal tubular necrosis	OFFSIDES
tobramycin	gastroenteritis	OFFSIDES
tobramycin	abdominal distension	OFFSIDES
tobramycin	gangrene	OFFSIDES
tobramycin	viral upper respiratory tract infection	OFFSIDES
tobramycin	bursitis	OFFSIDES
tobramycin	alanine aminotransferase increased	OFFSIDES
tobramycin	pleural effusion	OFFSIDES
tobramycin	haemolytic anaemia	OFFSIDES
tobramycin	lethargy	OFFSIDES
tobramycin	arthropathy	OFFSIDES
tobramycin	coma	OFFSIDES
tobramycin	pharyngitis streptococcal	OFFSIDES
tobramycin	bladder cancer	OFFSIDES
tobramycin	impaired healing	OFFSIDES
tobramycin	dehydration	OFFSIDES
tobramycin	neuralgia	OFFSIDES
tobramycin	vestibular disorder	OFFSIDES
tobramycin	metabolic acidosis	OFFSIDES
tobramycin	atrioventricular block first degree	OFFSIDES
tobramycin	blood alkaline phosphatase increased	OFFSIDES
tobramycin	paraesthesia oral	OFFSIDES
tobramycin	musculoskeletal pain	OFFSIDES
tobramycin	apathy	OFFSIDES
tobramycin	lung infiltration	OFFSIDES
tobramycin	cataract	OFFSIDES
tobramycin	blood phosphorus decreased	OFFSIDES
tobramycin	cellulitis	OFFSIDES
tobramycin	increased bronchial secretion	OFFSIDES
tobramycin	mental disorder	OFFSIDES
tobramycin	flank pain	OFFSIDES
tobramycin	atelectasis	OFFSIDES
tobramycin	sudden death	OFFSIDES
tobramycin	osteomyelitis	OFFSIDES
tobramycin	pyelonephritis	OFFSIDES
tobramycin	febrile neutropenia	OFFSIDES
tobramycin	oliguria	OFFSIDES
tobramycin	neuropathy peripheral	OFFSIDES
tobramycin	ear infection	OFFSIDES
tobramycin	mucosal inflammation	OFFSIDES
tobramycin	arrhythmia	OFFSIDES
tobramycin	akinesia	OFFSIDES
tobramycin	hypoaesthesia	OFFSIDES
tobramycin	asthma	OFFSIDES
tobramycin	hyperphosphataemia	OFFSIDES
tobramycin	optic neuritis	OFFSIDES
tobramycin	amnesia	OFFSIDES
tobramycin	dental caries	OFFSIDES
tobramycin	bipolar i disorder	OFFSIDES
tobramycin	eczema	OFFSIDES
tobramycin	altered state of consciousness	OFFSIDES
tobramycin	major depression	OFFSIDES
tobramycin	fluid overload	OFFSIDES
tobramycin	tooth infection	OFFSIDES
tobramycin	glaucoma	OFFSIDES
tobramycin	nervous system disorder	SIDER
tobramycin	gamma-glutamyltransferase increased	OFFSIDES
tobramycin	bone disorder	OFFSIDES
tobramycin	drug hypersensitivity	OFFSIDES
tobramycin	cushing's syndrome	OFFSIDES
tobramycin	influenza like illness	OFFSIDES
tobramycin	intestinal perforation	OFFSIDES
tobramycin	infection	OFFSIDES
tobramycin	hypertonia	OFFSIDES
tobramycin	respiratory disorder	OFFSIDES
tobramycin	azotaemia	OFFSIDES
tobramycin	thrombophlebitis	OFFSIDES
tobramycin	fatigue	OFFSIDES
tobramycin	pericardial effusion	OFFSIDES
tobramycin	bone pain	OFFSIDES
tobramycin	dysaesthesia	OFFSIDES
tobramycin	hypokalaemia	OFFSIDES
tobramycin	anaemia	OFFSIDES
tobramycin	hemiplegia	OFFSIDES
tobramycin	staphylococcal infection	OFFSIDES
tobramycin	road traffic accident	OFFSIDES
tobramycin	cholecystitis	OFFSIDES
tobramycin	respiratory failure	OFFSIDES
tobramycin	post procedural haemorrhage	OFFSIDES
tobramycin	dyspepsia	OFFSIDES
